창고코드,자재코드,자재명,배치,SAP재고,WMS재고,차이
5000.0,7302293.0,이지듀밀착커버매트팩트퍼프(2개입),0,0,84329,-84329.0
5000.0,7302317.0,이지듀밀착커버앰플쿠션퍼프(2개입)_V2,0,0,46399,-46399.0
5000.0,7302266.0,이지듀멜라토닝울트라카밍토너시카알로에130ML_펌프(미스트)(V2),0,0,34570,-34570.0
5000.0,7302501.0,"[판촉물]26년미니쇼핑백(설날,신년전용)",260107,0,24559,-24559.0
5000.0,7302264.0,[판촉물_상품]이지듀키링파우치,0,0,24327,-24327.0
5000.0,7302223.0,[판촉물]이지듀대형쇼핑백_2025_(285*90*250),0,0,17343,-17343.0
5000.0,7302433.0,[판촉물]이지듀파운데이션브러쉬,0,0,10050,-10050.0
5000.0,9312367.0,이지듀디더블유이지에프멜라토닝원데이앰플부스터샷20ML(리필)？,BJA,0,9576,-9576.0
5000.0,7302267.0,이지듀선물세트_세트단상자(15CM),0,0,9012,-9012.0
5000.0,2303460.0,이지듀디더블유이지에프멜라토닝원데이앰플1ML*7ea_용기덧방라벨,0,0,7000,-7000.0
5000.0,2303826.0,"[부자재]쿠션,팩트레드에디션_리본쇼핑백(공용,26설)",0,0,6960,-6960.0
5000.0,9312366.0,이지듀디더블유이지에프멜라토닝원데이앰플부스터샷20ML？,CJA,0,6532,-6532.0
5000.0,9309903.0,[EA]멜라비토닝앰플쿠션21호내추럴(리필)15g_V3,TJA,1059,6377,-5318.0
5000.0,7301695.0,[EA]멜라라필실리콘볼(소),0,0,5005,-5005.0
5000.0,9312167.0,이지듀멜라비토닝앰플쿠션19호샌드13G(미국),AAB,0,4440,-4440.0
5000.0,2303486.0,이지듀베리어리페어마스크25G(*4매입)_용기덧방라벨,0,0,4000,-4000.0
5000.0,7302229.0,베리어리페어세트_세트단상자(20CM),20250912,0,3839,-3839.0
5000.0,2303813.0,[부자재]기미쿠션레드에디션_21호내추럴_봉합라벨(26년설),260107,0,3600,-3600.0
5000.0,9311719.0,이지듀베리어리페어카밍겔패치(9g*4매입),FHA,0,3519,-3519.0
5000.0,2303810.0,[부자재]글로우팩트(FW)레드에디션_21호내추럴_봉합라벨(26년설),260107,0,3300,-3300.0
5000.0,7302262.0,이지듀멜라토닝울트라카밍토너시카알로에130ML_펌프(미스트)(V1),0,0,2695,-2695.0
5000.0,2303814.0,[부자재]기미쿠션레드에디션_23호베이지_봉합라벨(26년설),260107,0,2500,-2500.0
5000.0,2400021.0,[세트포장재]앰플쿠션_21호_면세기획세트(본품+리필2)39g_단상자V4,0,0,2200,-2200.0
5000.0,7302222.0,[판촉물_상품]이지듀썸머메쉬백(L),0,0,1906,-1906.0
5000.0,2302224.0,[판촉물_부자재](면세)원데이앰플(12ml+0.7ml)*3ea_슬리브,,0,1842,-1842.0
5000.0,7302385.0,[25년]이지듀쇼핑백_소(200*80*200),0,13774,15574,-1800.0
5000.0,2303823.0,[부자재]기미팩트세트_19호페어_봉합라벨(26신년),260107,0,1575,-1575.0
5000.0,2303822.0,[부자재]기미팩트세트_23호베이지_봉합라벨(26신년),260107,0,1560,-1560.0
5000.0,7302334.0,이지듀밀착커버매트팩트퍼프(1개입),0,0,1555,-1555.0
5000.0,9313130.0,이지듀이지에프쓰리디볼류밍립글로스4.4g레드,AAB,379,1903,-1524.0
5000.0,2303821.0,[부자재]기미팩트세트_21호내추럴_봉합라벨(26신년),260107,0,1510,-1510.0
5000.0,2303819.0,[부자재]기미쿠션세트_19호 페어_봉합라벨(26신년),260107,0,1500,-1500.0
5000.0,2303820.0,[부자재]기미쿠션세트_23호 베이지_봉합라벨(26신년),260107,0,1500,-1500.0
5000.0,2303818.0,[부자재]기미쿠션세트_22호 라이트베이지_봉합라벨(26신년),260107,0,1485,-1485.0
5000.0,2303817.0,[부자재]기미쿠션세트_21호 내추럴_봉합라벨(26신년),260107,0,1270,-1270.0
5000.0,7302262.0,이지듀멜라토닝울트라카밍토너시카알로에130ML_펌프(미스트)(V1),0,0,1246,-1246.0
5000.0,2303828.0,[부자재]부스터샷묶음(본품1+리필1)세트_띠라벨(면세),251230,0,1200,-1200.0
5000.0,2400020.0,[세트포장재]앰플쿠션_19호_면세기획세트(본품+리필2)39g_단상자_V4,0,0,1200,-1200.0
5000.0,2400022.0,[세트포장재]앰플쿠션_23호_면세기획세트(본품+리필2)39g_단상자V4,0,0,1200,-1200.0
5000.0,2302177.0,[판촉물부자재]이지듀스페셜기프트세트_세트케이스(금펄/2024설),,0,1100,-1100.0
5000.0,2303293.0,멀티비타앰플클렌저200ml_단상자,,0,1100,-1100.0
5000.0,2303459.0,이지듀클리어라하바디미스트100ML_용기덧방라벨,0,0,1000,-1000.0
5000.0,2303461.0,이지듀디더블유이지에프멜라토닝원데이앰플1ML_용기덧방라벨,0,0,1000,-1000.0
5000.0,2303465.0,이지듀멜라글루타치온크림105ML_용기덧방라벨,0,0,1000,-1000.0
5000.0,2303466.0,이지듀디더블유이지에프와이드(프로텍션)패치4G_용기덧방라벨,0,0,1000,-1000.0
5000.0,2303467.0,이지듀멜라비토닝앰플쿠션23호베이지_용기덧방라벨,0,0,1000,-1000.0
5000.0,2303468.0,이지듀멜라비토닝앰플쿠션21호내추럴_용기덧방라벨,0,0,1000,-1000.0
5000.0,2303469.0,이지듀멜라비토닝앰플쿠션19호페어_용기덧방라벨,0,0,1000,-1000.0
5000.0,2303478.0,이지듀클리어B3+B5세럼29ML_용기덧방라벨,0,0,1000,-1000.0
5000.0,2303479.0,이지듀멜라에이레티노0.03프로크림30ML_용기덧방라벨,0,0,1000,-1000.0
5000.0,2303480.0,이지듀멜라에이레티노0.3프로트리트먼트1ML_용기덧방라벨,0,0,1000,-1000.0
5000.0,2303481.0,이지듀베리어리페어클렌저150ML_용기덧방라벨,0,0,1000,-1000.0
5000.0,2303482.0,이지듀베리어리페어크림30G_용기덧방라벨,0,0,1000,-1000.0
5000.0,2303484.0,이지듀베리어리페어크림50ML_용기덧방라벨,0,0,1000,-1000.0
5000.0,2303485.0,이지듀베리어리페어크림105ML_용기덧방라벨,0,0,1000,-1000.0
5000.0,2303487.0,이지듀베리어리페어토너200ML_용기덧방라벨,0,0,1000,-1000.0
5000.0,2303488.0,이지듀베리어리페어미스트60ML_용기덧방라벨,0,0,1000,-1000.0
5000.0,2303490.0,이지듀디더블유이지에프크림프레좀알엑스50ML_용기덧방라벨,0,0,1000,-1000.0
5000.0,2303493.0,이지듀클리어라하바디미스트100ML_단상자,0,0,1000,-1000.0
5000.0,2303494.0,이지듀디더블유이지에프멜라토닝원데이앰플1ML*7ea_단상자,0,0,1000,-1000.0
5000.0,2303495.0,이지듀디더블유이지에프멜라토닝원데이앰플1ML_단상자,0,0,1000,-1000.0
5000.0,2303499.0,이지듀멜라글루타치온크림105ML_단상자,0,0,1000,-1000.0
5000.0,2303500.0,이지듀디더블유이지에프와이드(프로텍션)패치4G_단상자,0,0,1000,-1000.0
5000.0,2303512.0,이지듀멜라에이레티노0.03프로크림1ML_단상자,0,0,1000,-1000.0
5000.0,2303513.0,이지듀멜라에이레티노0.03프로크림30ML_단상자,0,0,1000,-1000.0
5000.0,2303514.0,이지듀멜라에이레티노0.3프로트리트먼트1ML_단상자,0,0,1000,-1000.0
5000.0,2303515.0,이지듀베리어리페어클렌저150ML_단상자,0,0,1000,-1000.0
5000.0,2303516.0,이지듀베리어리페어크림30G_단상자,0,0,1000,-1000.0
5000.0,2303517.0,이지듀베리어리페어크림50ML_단상자,0,0,1000,-1000.0
5000.0,2303518.0,이지듀베리어리페어크림105ML_단상자,0,0,1000,-1000.0
5000.0,2303519.0,이지듀베리어리페어마스크25G(*4매입)_단상자,0,0,1000,-1000.0
