,자재,기말 재고 수량,기말 재고 금액,자재 내역,특별 재고,저장 위치,배치,단가,유효기간,남은일,유효기한구간,3평판,_mat_key,원가율,대분류,소분류,평판 * 1.38배,출하원가,출하판가,판가,who,26_1,26_2,26_3,26_4,26_5,26_6,26_7,26_8,26_9,26_10,26_11,26_12,27_1,27_2,27_3,27_4,27_5,27_6,27_7,27_8,27_9,27_10,27_11,27_12,28_1,28_2,28_3,28_4,28_5,28_6,28_7,28_8,28_9,28_10,28_11,28_12,부진재고량,부진재고진입시점,부진재고진입분기,회전월
0,1000940,685536.709,1163518862,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,O,5000,B08897,1697.2378673889511,2027-08-06,513,1년 이상,0,1000940,0.2,원료,원료,212865.59643599996,361283550.9355137,1806417754.6775682,5817594310,자사,802235311.0644863,440951760.1289726,79668209.19345891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.220514354963476
1,1300271,1201.96,12668659,대웅이지에프원료(동결원액)4mg/1ml,O,,C04686,10540.000499184665,2099-12-31,,미상,0,1300271,0.2,원료,원료,0,0,0,63343295,자사,12668659,12668659,12668659,12668659,12668659,12668659,12668659,12668659,12668659,12668659,12668659,12668659,12668659,12668659,12668659,12668659,12668659,12668659,12668659,12668659,12668659,12668659,12668659,12668659,12668659,12668659,12668659,12668659,12668659,12668659,12668659,12668659,12668659,12668659,12668659,12668659,0,0,0,0
2,2300779,10,5922,[판촉물_부자재][EA]대형쇼핑백(고급)(28*7.5*32),W,,,592.2,2099-12-31,,미상,0,2300779,1.9171254770429087,세트포장재,세트포장재,0,0,0,3088.9996877692397,자사,5922,5922,5922,5922,5922,5922,5922,5922,5922,5922,5922,5922,5922,5922,5922,5922,5922,5922,5922,5922,5922,5922,5922,5922,5922,5922,5922,5922,5922,5922,5922,5922,5922,5922,5922,5922,0,0,0,0
3,2301915,13,8391,[부자재]이지듀쇼핑백(245*95*230)2023프로모션,,5000,,645.4615384615385,,,미상,0,2301915,1.9171254770429087,세트포장재,세트포장재,33.948,21912.128307692306,11429.678740429088,4376.865312406568,자사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3829386119948156
4,2302226,2324,568980,[판촉물_부자재](면세)이지에프멜라토닝패치(5g*4ea)*3ea_슬리브,,5000,,244.8278829604131,,,미상,0,2302226,1.9171254770429087,세트포장재,세트포장재,75.348,18447.291325301205,9622.370338406557,296788.08550269203,자사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.843552582683017
5,2302317,3127,766115,[부자재]DW이지에프비타민샷마이크로패치_단상자(4개입),O,,,245,2099-12-31,,미상,0,2302317,1.9171254770429087,세트포장재,세트포장재,0,0,0,399616.51398097456,자사,766115,766115,766115,766115,766115,766115,766115,766115,766115,766115,766115,766115,766115,766115,766115,766115,766115,766115,766115,766115,766115,766115,766115,766115,766115,766115,766115,766115,766115,766115,766115,766115,766115,766115,766115,766115,0,0,0,0
6,2302335,52508,1575240,[부자재]DW이지에프비타민샷마이크로패치_파우치,O,,,30,2099-12-31,,미상,0,2302335,1.9171254770429087,세트포장재,세트포장재,0,0,0,821667.6575754166,자사,1575240,1575240,1575240,1575240,1575240,1575240,1575240,1575240,1575240,1575240,1575240,1575240,1575240,1575240,1575240,1575240,1575240,1575240,1575240,1575240,1575240,1575240,1575240,1575240,1575240,1575240,1575240,1575240,1575240,1575240,1575240,1575240,1575240,1575240,1575240,1575240,0,0,0,0
7,2302367,1363,170375,[EA]디더블유이지에프더마톡스니들롤러대_2024(AD)_단상자,,5000,,125,,,미상,0,2302367,1.9171254770429087,세트포장재,세트포장재,2598.1259999999997,324765.74999999994,169402.4485559174,88870.03069971027,자사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5246088911777181
8,2302396,13500,1552500,[판촉물_부자재]이지듀 한가인 슬리브 (비타C토너용),,5000,,115,,,미상,0,2302396,1.9171254770429087,세트포장재,세트포장재,896.9999999999999,103154.99999999999,53807.119687915554,809806.1491492308,자사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.050167224080269
9,2302427,17549,2018135,[판촉물_부자재]이지듀 한가인 슬리브 (1ml+oy니들기획])_슬리브(판,,5000,,115,2099-12-31,,미상,0,2302427,1.9171254770429087,세트포장재,세트포장재,0,0,0,1052688.0082533224,자사,2018135,2018135,2018135,2018135,2018135,2018135,2018135,2018135,2018135,2018135,2018135,2018135,2018135,2018135,2018135,2018135,2018135,2018135,2018135,2018135,2018135,2018135,2018135,2018135,2018135,2018135,2018135,2018135,2018135,2018135,2018135,2018135,2018135,2018135,2018135,2018135,0,0,0,0
